solidity,perimeter,equivalent_diameter,eccentricity,bbox_area,area,extent,major_axis_length,min_axis_length,min_major_axis_ratio,convex_area,type,chromosome_num
0.874755382,147.0538239,33.7383484,0.953871707,1160,894,0.770689655,63.17575028,18.96627854,0.300214536,782,0,1
0.93125,126.4680374,33.7383484,0.864423316,1305,894,0.685057471,48.08482427,24.17535163,0.502764687,833,0,1
0.801971326,175.5391052,33.75721245,0.981984313,2070,895,0.43236715,81.18297474,15.34053423,0.188962455,718,0,1
0.91353001,140.509668,33.81374145,0.941413359,2000,898,0.449,59.31082743,20.00286899,0.337254931,820,0,1
0.910732197,129.0538239,34.00149271,0.86932618,1440,908,0.630555556,49.36148177,24.39635961,0.494238802,827,0,1
0.901671583,143.5391052,34.16958681,0.931824424,1938,917,0.473168215,58.13286598,21.09696433,0.362909414,827,0,1
0.705611068,180.8528137,34.18821291,0.972356908,1725,918,0.532173913,83.02575038,19.38647614,0.233499559,648,0,1
0.835443038,144.7106781,34.29975713,0.924430566,1911,924,0.483516484,59.19689873,22.57476104,0.3813504,772,0,1
0.90625,137.2964646,34.37391886,0.899551741,1728,928,0.537037037,52.83671074,23.07982671,0.436814222,841,0,1
0.882241216,145.882251,34.3924343,0.939501736,1855,929,0.500808625,60.53356385,20.73541758,0.34254414,820,0,1
0.871482176,137.0538239,34.3924343,0.795292424,1596,929,0.582080201,46.76159851,28.34809669,0.606225997,810,0,1
0.91798419,136.4680374,34.3924343,0.896712231,1620,929,0.57345679,52.5786999,23.27206998,0.442614025,853,0,1
0.950920245,122.9116882,34.41093978,0.805031292,1260,930,0.738095238,44.98130125,26.68436299,0.593232349,884,0,1
0.897016362,143.4974747,34.44792092,0.948369513,1276,932,0.730407524,62.57775876,19.84763559,0.317167569,836,0,1
0.894184938,146.3675324,34.5586269,0.944291951,1944,938,0.482510288,61.40506711,20.20895814,0.329108966,839,0,1
0.935515873,139.7817459,34.65061169,0.927756554,1836,943,0.513616558,57.51987721,21.46561178,0.373185981,882,0,1
0.904806786,142.0243866,34.96154978,0.928475194,2016,960,0.476190476,58.46961285,21.71528794,0.37139442,869,0,1
0.862657092,144.8528137,34.97975418,0.933375027,2050,961,0.468780488,61.25654591,21.98513214,0.358902576,829,0,1
0.90754717,141.6396103,34.99794911,0.93227004,1749,962,0.550028588,59.1395955,21.39452603,0.361763144,873,0,1
0.901303538,142.5685425,35.10692068,0.928883616,1378,968,0.702467344,59.24790251,21.94374896,0.370371744,872,0,1
0.820620285,148.9533188,35.30582833,0.93593274,1792,979,0.546316964,63.81943205,22.47585097,0.3521788,803,0,1
0.860892388,187.4974747,35.3958714,0.987096235,1680,984,0.585714286,91.60882149,14.66915053,0.160128144,847,0,1
0.910516605,144.3259018,35.44978746,0.938928161,1210,987,0.815702479,61.70161581,21.2323418,0.344113222,899,0,1
0.845034247,149.5391052,35.44978746,0.924983228,1680,987,0.5875,60.75237664,23.086385,0.380007932,834,0,1
0.889186774,153.0538239,35.59316433,0.954248773,1680,995,0.592261905,66.6377762,19.92561762,0.299013844,885,0,1
0.922723091,135.3969696,35.73596596,0.416115549,1443,1003,0.695079695,38.73660105,35.2236463,0.909311745,925,0,1
0.865748709,148.7106781,35.78936968,0.932510594,1705,1006,0.590029326,61.67161534,22.27224882,0.361142621,871,0,1
0.86672326,153.882251,36.05520178,0.900882171,1512,1021,0.67526455,56.83346746,24.66934631,0.43406372,885,0,1
0.780654989,194.2670273,36.12575997,0.983444815,2574,1025,0.398212898,89.9282387,16.29570528,0.181207878,800,0,1
0.888311688,148.9533188,36.143378,0.932592041,2014,1026,0.509433962,61.69924568,22.2692473,0.360932246,911,0,1
0.909251101,148.0243866,36.24890633,0.938345571,2067,1032,0.499274311,62.81650197,21.71558295,0.345698698,938,0,1
0.826538769,193.2792206,36.28401424,0.984435291,3840,1034,0.269270833,91.12105801,16.01429153,0.175747427,855,0,1
0.908611599,147.9238816,36.28401424,0.930496268,2208,1034,0.468297101,61.57101175,22.55354606,0.366301372,940,0,1
0.897058824,142.8111832,36.3366125,0.700488239,1517,1037,0.683586025,45.62694032,32.56230225,0.713663945,930,0,1
0.787009063,195.6223664,36.42410748,0.984057992,3672,1042,0.283769063,91.84791928,16.33495779,0.177847881,820,0,1
0.805705474,206.1665222,36.47650373,0.987357296,2656,1045,0.393448795,95.30838312,15.10737707,0.158510475,842,0,1
0.838141026,154.8528137,36.49395243,0.782620647,1833,1046,0.570649209,49.64000315,30.90084904,0.622498934,877,0,1
0.869817579,157.4386002,36.54624854,0.942097095,2184,1049,0.480311355,65.10418217,21.83205087,0.335340222,912,0,1
0.849757674,170.1248917,36.59846993,0.962719653,1920,1052,0.547916667,73.14865557,19.78679507,0.270501145,894,0,1
0.877805486,162.8528137,36.66798275,0.955131216,2548,1056,0.4144427,69.07644818,20.45926867,0.296182986,927,0,1
0.874380165,163.0954544,36.7026898,0.960955608,2440,1058,0.433606557,71.67969037,19.83395535,0.276702581,925,0,1
0.89486755,153.6812409,37.09948716,0.932527539,2288,1081,0.472465035,63.18218982,22.81501697,0.361098864,967,0,1
0.847298356,204.0243866,37.116643,0.987514015,2788,1082,0.388091822,97.73743355,15.3966923,0.15753117,917,0,1
0.860739575,158.6101731,37.32189789,0.922659634,2214,1094,0.494128275,62.21034074,23.98926245,0.385615352,942,0,1
0.864460205,156.509668,37.37303547,0.929127185,2397,1097,0.457655403,63.58636766,23.51171385,0.369760292,948,0,1
0.764091858,215.7228714,37.39006579,0.986961558,3526,1098,0.311401021,99.16185376,15.96071047,0.160956153,839,0,1
0.878087649,150.5685425,37.45810965,0.823717616,1722,1102,0.639953542,52.56299967,29.8032342,0.567000255,968,0,1
0.864526233,167.1959595,37.49208526,0.957334489,2440,1104,0.452459016,71.78180808,20.74366042,0.288982139,954,0,1
0.881180223,151.9827561,37.50906153,0.920170756,1508,1105,0.732758621,61.66610438,24.14334546,0.39151728,974,0,1
0.875692795,166.0243866,37.52603012,0.953793649,2331,1106,0.474474474,70.55964781,21.20052373,0.300462437,969,0,1
0.609006041,201.7817459,37.57688991,0.916896201,2795,1109,0.396779964,80.52139848,32.13816274,0.39912574,675,0,1
0.87785658,154.0243866,37.66150359,0.918364063,2184,1114,0.51007326,61.56677703,24.36422632,0.395736589,978,0,1
0.906504065,154.1665222,37.67840353,0.933641722,2450,1115,0.455102041,64.28261442,23.0265615,0.35820823,1011,0,1
0.844711178,168.7106781,37.86380498,0.961640998,1876,1126,0.60021322,76.14406078,20.88716272,0.274311122,951,0,1
0.864122137,157.5391052,37.96455142,0.917175806,1881,1132,0.601807549,62.2542096,24.80723163,0.398482798,978,0,1
0.79944095,212.0071427,38.16524648,0.988085024,4650,1144,0.246021505,104.2014756,16.03754664,0.153909017,915,0,1
0.647258338,221.137085,38.18192345,0.976267149,4575,1145,0.250273224,102.8083517,22.26517842,0.216569744,741,0,1
0.765176785,195.0538239,38.21525556,0.980508142,2050,1147,0.559512195,93.2499285,18.32160179,0.196478454,878,0,1
0.925866237,149.4386002,38.24855863,0.890815167,2132,1149,0.538930582,57.37135728,26.06758627,0.454365863,1064,0,1
0.853907962,177.5391052,38.58000814,0.576150178,1763,1169,0.663074305,46.23457704,37.7895473,0.817343852,998,0,1
0.580357143,226.509668,38.5965059,0.9585155,3572,1170,0.327547592,97.57956144,27.8141183,0.285040411,679,0,1
0.879491018,162.01829,38.67888914,0.926347898,1682,1175,0.698573127,65.24208742,24.57467504,0.376669049,1033,0,1
0.888301887,176.7523087,38.71179335,0.963588733,2925,1177,0.402393162,76.74529492,20.52082992,0.267388769,1046,0,1
0.843951324,179.9238816,38.74466961,0.955161454,2760,1179,0.427173913,74.96134065,22.19496274,0.296085456,995,0,1
0.908461538,176.2253967,38.777518,0.967699565,1702,1181,0.693889542,78.29381383,19.73835841,0.252106232,1073,0,1
0.888972243,163.2670273,38.84313145,0.928522677,2520,1185,0.470238095,66.12621911,24.55105759,0.371275689,1053,0,1
0.766300839,185.3380951,38.87589664,0.944411042,2010,1187,0.590547264,76.09185354,25.01649548,0.328767067,910,0,1
0.820371645,182.7523087,38.95768907,0.969345485,2800,1192,0.425714286,81.75472655,20.08727603,0.245701709,978,0,1
0.797072522,187.4802307,39.05561387,0.963741769,1971,1198,0.607813293,80.11977136,21.37889216,0.26683666,955,0,1
0.698311008,224.6518036,39.07191081,0.983785096,3003,1199,0.399267399,104.6930242,18.77682859,0.179351287,837,0,1
0.902861446,171.882251,39.07191081,0.958138522,1564,1199,0.766624041,74.37619226,21.29427827,0.286305034,1083,0,1
0.881318681,173.882251,39.1370307,0.95825737,1632,1203,0.737132353,75.17851235,21.49406293,0.285907,1060,0,1
0.777061856,180.6518036,39.18579961,0.927665636,2205,1206,0.546938776,71.00712733,26.51490829,0.373411928,937,0,1
0.90411985,173.4802307,39.20204243,0.96224253,3050,1207,0.395737705,76.46020677,20.81197287,0.272193521,1091,0,1
0.89739777,184.0243866,39.20204243,0.96575426,2336,1207,0.516695205,78.46762276,20.35909105,0.259458492,1083,0,1
